cusno,gender,region,pur_id,product,price,quantity,amount,date,day,time,age_cat,year
1001,0,4,2116615,10,12249.265,59.49999999999999,728831.2674999998,2021-02-19,금,4,3,2021
1001,0,4,2025304,20,29595.47,5.0,147977.35,2020-05-24,일,4,3,2020
1001,0,4,2021552,20,18873.07,67.0,1264495.69,2020-06-02,화,22,3,2020
1001,0,4,2113811,10,16419.905,54.599999999999994,896526.8129999998,2021-01-29,금,18,3,2021
1001,0,4,2146825,10,21871.485,68.6,1500383.8709999998,2021-09-02,목,18,3,2021
1001,0,4,2015706,30,30941.75,98.0,3032291.5,2020-03-27,금,12,3,2020
1001,0,4,2130789,10,2695.845,50.4,135870.588,2021-04-05,월,10,3,2021
1001,0,4,2040495,20,27327.51,51.0,1393703.01,2020-11-13,금,9,3,2020
1001,0,4,2145655,10,15639.345,66.5,1040016.4425,2021-09-09,목,8,3,2021
1001,0,4,2120226,10,13858.25,50.4,698455.7999999999,2021-01-15,금,17,3,2021
1001,0,4,2133661,30,59141.81999999999,46.0,2720523.7199999997,2021-07-17,토,1,3,2021
1001,0,4,2040793,30,44485.8,84.0,3736807.2,2020-02-27,목,12,3,2020
1001,0,4,2027215,30,14243.83,35.0,498534.05,2020-08-28,금,4,3,2020
1001,0,4,2034926,30,22975.49,61.0,1401504.8900000001,2020-01-07,화,7,3,2020
1001,0,4,2131095,20,33400.49,11.700000000000001,390785.733,2021-10-10,일,18,3,2021
1001,0,4,2110562,10,17139.855,1.4,23995.797,2021-10-10,일,20,3,2021
1002,1,7,2129085,30,49003.604999999996,79.0,3871284.7949999995,2021-11-09,화,2,4,2021
1002,1,7,2035971,20,28087.9,95.0,2668350.5,2020-01-09,목,12,4,2020
1002,1,7,2026077,20,5786.34,10.0,57863.4,2020-12-31,목,11,4,2020
1002,1,7,2130153,20,9616.34,22.5,216367.65,2021-03-05,금,19,4,2021
1002,1,7,2032092,10,34489.41,45.0,1552023.4500000002,2020-12-25,금,18,4,2020
1002,1,7,2017021,30,36798.73,63.0,2318319.99,2020-01-12,일,9,4,2020
